rank,lemma,pos,freq
1226,vento,n,4427
1227,disporre,v,4427
1228,uso,n,4419
1229,show,n,4413
1230,soluzione,n,4410
1231,dritto,adj,4407
1232,sospetto,n,4401
1233,nato,n,4399
1234,proprietà,n,4396
1235,orgoglioso,adj,4396
1236,ubriaco,adj,4393
1237,procuratore,n,4381
1238,bellezza,n,4370
1239,migliorare,v,4370
1240,ignorare,v,4370
1241,campagna,n,4369
1242,permesso,adj,4367
1243,preciso,adj,4357
1244,prestare,v,4345
1245,spia,n,4342
1246,premio,n,4336
1247,improvviso,adj,4334
1248,incastrare,v,4328
1249,stampa,n,4322
1250,spedire,v,4320
1251,retro,n,4314
1252,spesa,n,4306
1253,dubitare,v,4304
1254,palazzo,n,4299
1255,pubblico,n,4298
1256,importanza,n,4291
1257,utile,adj,4288
1258,drink,n,4286
1259,cinema,n,4284
1260,cameriere,n,4284
1261,basta,n,4284
1262,cucinare,v,4280
1263,complicare,v,4276
1264,creatura,n,4276
1265,gara,n,4275
1266,pesante,adj,4275
1267,frequentare,v,4275
1268,anzi,adv,4270
1269,motore,n,4267
1270,lottare,v,4266
1271,pollo,n,4264
1272,sincero,adj,4261
1273,ultimamente,adv,4251
1274,matto,adj,4249
1275,articolo,n,4244
1276,sottotitolo,n,4241
1277,spezzare,v,4239
1278,inseguire,v,4226
1279,migliaio,n,4220
1280,allarme,n,4219
1281,maniera,n,4215
1282,dna,n,4204
1283,quartiere,n,4204
1284,costa,n,4203
1285,breve,adj,4200
1286,ucciso,n,4197
1287,partecipare,v,4195
1288,apparire,v,4192
1289,telefonare,v,4191
1290,maestà,n,4184
1291,gridare,v,4181
1292,trucco,n,4178
1293,lassù,adv,4172
1294,accomodare,v,4169
1295,spiaggia,n,4168
1296,guarire,v,4168
1297,giardino,n,4167
1298,fornire,v,4166
1299,pessimo,adj,4160
1300,viso,n,4155
1301,magia,n,4154
1302,copia,n,4151
1303,cento,adj,4148
1304,minaccia,n,4147
1305,distanza,n,4146
1306,rintracciare,v,4146
1307,troia,n,4135
1308,sabato,n,4134
1309,straordinario,adj,4134
1310,opinione,n,4127
1311,erba,n,4125
1312,corto,adj,4125
1313,ghiaccio,n,4124
1314,positivo,adj,4119
1315,talento,n,4117
1316,fallire,v,4117
1317,decisamente,adv,4108
1318,vergognarsi,v,4108
1319,sparo,n,4101
1320,venerdì,n,4093
1321,rifare,v,4092
1322,velocità,n,4082
1323,particolare,adj,4076
1324,fresco,adj,4066
1325,provenire,v,4051
1326,direzione,n,4048
1327,voglia,n,4046
1328,trappola,n,4042
1329,assistente,n,4038
1330,atto,n,4032
1331,sprecare,v,4029
1332,autobus,n,4028
1333,chiaramente,adv,4026
1334,nazionale,adj,4019
1335,abitare,v,4013
1336,ispettore,n,4012
1337,albergo,n,4010
1338,doccia,n,3998
1339,fiero,adj,3997
1340,ala,n,3992
1341,blu,adj,3985
1342,potente,adj,3970
1343,regalare,v,3969
1344,negare,v,3963
1345,insistere,v,3962
1346,miracolo,n,3959
1347,tetta,n,3949
1348,paradiso,n,3941
1349,debito,n,3940
1350,prevedere,v,3938
1351,trascinare,v,3937
1352,provocare,v,3936
1353,fonte,n,3926
1354,genio,n,3925
1355,tasca,n,3921
1356,vittoria,n,3912
1357,killer,n,3908
1358,civile,adj,3906
1359,sfuggire,v,3906
1360,maiale,n,3903
1361,garantire,v,3902
1362,copertura,n,3901
1363,est,n,3896
1364,colpevole,adj,3890
1365,lotta,n,3881
1366,esagerare,v,3881
1367,cancro,n,3877
1368,battuta,n,3875
1369,perfettamente,adv,3872
1370,liceo,n,3871
1371,domenica,n,3868
1372,dannato,adj,3863
1373,lamentare,v,3860
1374,fumo,n,3857
1375,confessare,v,3846
1376,direttamente,adv,3841
1377,sezione,n,3841
1378,mattino,n,3840
1379,infilare,v,3840
1380,banda,n,3832
1381,aumentare,v,3829
1382,cella,n,3825
1383,proprietario,n,3821
1384,federale,adj,3821
1385,lieto,adj,3819
1386,valigia,n,3817
1387,ridare,v,3816
1388,rientrare,v,3810
1389,fuga,n,3806
1390,ginocchio,n,3806
1391,doppio,adj,3803
1392,altezza,n,3802
1393,dappertutto,adv,3799
1394,centrale,adj,3790
1395,disturbo,n,3775
1396,seriamente,adv,3770
1397,chilometro,n,3768
1398,cambiamento,n,3766
1399,stupendo,adj,3761
1400,sindaco,n,3760
1401,complimento,n,3759
1402,pratica,n,3750
1403,centinaio,n,3749
1404,splendido,adj,3743
1405,insegnante,n,3734
1406,scambiare,v,3732
1407,assegno,n,3731
1408,tentativo,n,3730
1409,italiano,adj,3727
1410,ruolo,n,3724
1411,preferito,adj,3723
1412,giacca,n,3723
1413,strappare,v,3723
1414,male,n,3719
1415,funerale,n,3719
1416,beare,v,3716
1417,definire,v,3711
1418,domattina,adv,3704
1419,corte,n,3703
1420,credito,n,3702
1421,purtroppo,adv,3699
1422,autorità,n,3697
1423,giungere,v,3696
1424,azienda,n,3674
1425,proporre,v,3672
1426,responsabile,adj,3671
1427,camicia,n,3671
1428,addormentare,v,3670
1429,amor,n,3654
1430,sociale,adj,3652
1431,rilasciare,v,3652
1432,pillola,n,3649
1433,giocatore,n,3642
1434,miglio,n,3638
1435,aeroporto,n,3629
1436,interrogare,v,3629
1437,tedesco,adj,3628
1438,stabilire,v,3621
1439,recente,adj,3616
1440,realizzare,v,3609
1441,attendere,v,3608
1442,coraggioso,adj,3607
1443,assieme,adv,3603
1444,artista,n,3601
1445,eccitare,v,3596
1446,salto,n,3594
1447,sollevare,v,3593
1448,diretto,adj,3587
1449,filo,n,3575
1450,incazzarsi,v,3565
1451,amicizia,n,3561
1452,incendio,n,3559
1453,comodo,adj,3555
1454,cieco,adj,3548
1455,rivolgere,v,3540
1456,velocemente,adv,3536
1457,prestito,n,3534
1458,geloso,adj,3534
1459,delizioso,adj,3528
1460,largo,adj,3526
1461,bimbo,n,3526
1462,violenza,n,3521
1463,destro,adj,3520
1464,carico,n,3519
1465,gratis,adv,3513
1466,contenere,v,3513
1467,noioso,adj,3512
1468,incubo,n,3499
1469,cioccolato,n,3497
1470,protezione,n,3496
1471,fastidio,n,3492
1472,indagare,v,3492
1473,raggio,n,3489
1474,basare,v,3488
1475,parco,n,3487
1476,gas,n,3487
1477,esprimere,v,3487
1478,criminale,adj,3485
1479,finale,adj,3482
1480,presenza,n,3481
1481,domandare,v,3481
1482,vendetta,n,3479
1483,piatto,n,3479
1484,ombra,n,3477
1485,identità,n,3473
1486,concludere,v,3466
1487,respiro,n,3463
1488,scienza,n,3460
1489,alzato,n,3454
1490,affarsi,v,3452
1491,capacità,n,3445
1492,gola,n,3444
1493,vendita,n,3444
1494,titolo,n,3436
1495,adatto,adj,3434
1496,mordere,v,3433
1497,investire,v,3433
1498,rabbia,n,3432
1499,strega,n,3428
1500,corrente,n,3426
1501,internet,n,3425
1502,carter,n,3425
1503,assomigliare,v,3416
1504,avvenire,v,3413
1505,giornalista,n,3411
1506,produrre,v,3411
1507,diro,adj,3411
1508,esaminare,v,3409
1509,inserire,v,3405
1510,agenzia,n,3403
1511,costume,n,3402
1512,personaggio,n,3402
1513,riparare,v,3401
1514,gusto,n,3400
1515,confronto,n,3400
1516,comportamento,n,3395
1517,sale,n,3392
1518,nazione,n,3390
1519,descrivere,v,3386
1520,politico,adj,3384
1521,eppure,adv,3383
1522,dono,n,3379
1523,ministro,n,3374
1524,prigioniero,n,3374
1525,scientifico,adj,3370
1526,volontà,n,3366
1527,rallentare,v,3360
1528,chilo,n,3359
1529,grato,adj,3350
1530,riflettere,v,3349
1531,moto,n,3345
1532,impegno,n,3336
1533,denunciare,v,3335
1534,angelo,n,3332
1535,ingannare,v,3329
1536,soccorso,n,3325
1537,comunicare,v,3325
1538,parente,n,3323
1539,novità,n,3321
1540,bestia,n,3316
1541,esperto,n,3313
1542,dichiarazione,n,3312
1543,sbirro,n,3312
1544,topo,n,3309
1545,corda,n,3307
1546,rapina,n,3302
1547,gioia,n,3301
1548,professionista,n,3300
1549,obbligare,v,3297
1550,rete,n,3296
1551,nastro,n,3292
1552,attesa,n,3290
1553,alice,n,3290
1554,modello,n,3290
1555,magico,adj,3290
1556,scattare,v,3288
1557,maledetto,adj,3283
1558,patto,n,3279
1559,indicare,v,3273
1560,avvisare,v,3273
1561,conseguenza,n,3269
1562,pavimento,n,3268
1563,soddisfare,v,3267
1564,qualità,n,3266
1565,fan,n,3265
1566,furto,n,3264
1567,argomento,n,3261
1568,neppure,adv,3257
1569,esplosione,n,3255
1570,staccare,v,3255
1571,stomaco,n,3254
1572,disastro,n,3249
1573,bosco,n,3249
1574,noto,adj,3249
1575,teatro,n,3248
1576,finora,adv,3245
1577,scrivania,n,3238
1578,sufficiente,adj,3236
1579,condannare,v,3231
1580,vantaggio,n,3230
1581,km,n,3229
1582,punire,v,3229
1583,visitare,v,3226
1584,reagire,v,3223
1585,specialmente,adv,3222
1586,polvere,n,3221
1587,affascinante,adj,3219
1588,badare,v,3219
1589,sono,n,3216
1590,peccare,v,3212
1591,attentare,v,3211
1592,solamente,adv,3210
1593,pizza,n,3208
1594,tazza,n,3205
1595,grasso,adj,3198
1596,lago,n,3197
1597,visione,n,3194
1598,benedire,v,3194
1599,terapia,n,3193
1600,imbarazzante,adj,3186
1601,lì,adv,3184
1602,russo,adj,3180
1603,tomba,n,3179
1604,gloria,n,3178
1605,disgustoso,adj,3176
1606,esterno,adj,3174
1607,ostaggio,n,3173
1608,baby,adj,3172
1609,crisi,n,3171
1610,recitare,v,3171
1611,attirare,v,3163
1612,prete,n,3162
1613,onda,n,3162
1614,versione,n,3161
1615,pane,n,3160
1616,bersaglio,n,3155
1617,traffico,n,3154
1618,partner,n,3152
1619,analisi,n,3148
1620,spiegazione,n,3146
1621,magazzino,n,3143
1622,ambulanza,n,3137
1623,correggere,v,3135
1624,sostituire,v,3134
1625,ladro,n,3133
1626,corridoio,n,3132
1627,assicurazione,n,3131
1628,marina,n,3129
1629,ingresso,n,3125
1630,vomitare,v,3125
1631,rock,n,3122
1632,eseguire,v,3122
1633,funzione,n,3118
1634,voltare,v,3117
1635,peggiorare,v,3116
1636,zero,adj,3111
1637,pioggia,n,3111
1638,scavare,v,3110
1639,sano,adj,3109
1640,partito,n,3108
1641,legame,n,3104
1642,pur,adv,3097
1643,costo,n,3090
1644,urlo,n,3089
1645,senatore,n,3089
1646,moda,n,3088
1647,mucchio,n,3087
1648,assistere,v,3068
1649,parcheggio,n,3065
1650,scimmia,n,3065
1651,papa,n,3064
1652,allenare,v,3062
1653,risultare,v,3061
1654,cerca,n,3060
1655,augurare,v,3058
1656,football,n,3057
1657,amante,n,3054
1658,simpatico,adj,3051
1659,seppellire,v,3051
1660,eccellente,adj,3049
1661,intervento,n,3049
1662,armare,v,3043
1663,romantico,adj,3042
1664,regno,n,3041
1665,spaccare,v,3033
1666,tuttavia,adv,3031
1667,pensione,n,3031
1668,tacere,v,3029
1669,agitare,v,3028
1670,piscina,n,3025
1671,attorno,adv,3024
1672,familiare,adj,3020
1673,segretario,n,3019
1674,uguale,adj,3016
1675,abbracciare,v,3010
1676,cittadino,n,3009
1677,distrarre,v,3008
1678,premere,v,3007
1679,pentirsi,v,3004
1680,circondare,v,2999
1681,fisico,adj,2992
1682,biscotto,n,2991
1683,sterlina,n,2988
1684,pazzesco,adj,2987
1685,facilmente,adv,2986
1686,lady,n,2982
1687,giuria,n,2981
1688,cassetta,n,2976
1689,divertimento,n,2975
1690,discussione,n,2974
1691,dedicare,v,2973
1692,conta,n,2972
1693,max,adv,2972
1694,proposta,n,2962
1695,percento,n,2957
1696,galera,n,2957
1697,disco,n,2956
1698,sconvolgere,v,2955
1699,sconfiggere,v,2954
1700,mappa,n,2953
1701,fiamma,n,2941
1702,perfino,adv,2936
1703,accetto,adj,2935
1704,lunedì,n,2934
1705,neve,n,2934
1706,city,n,2933
1707,attivare,v,2932
1708,emozione,n,2930
1709,felicità,n,2929
1710,principe,adj,2926
1711,commissione,n,2925
1712,stendere,v,2924
1713,oscuro,adj,2923
1714,pago,adj,2919
1715,quarto,adj,2914
1716,annullare,v,2914
1717,impressione,n,2911
1718,reazione,n,2911
1719,fotografia,n,2911
1720,compiere,v,2910
1721,includere,v,2908
1722,adorabile,adj,2906
1723,maschio,n,2899
1724,tendere,v,2899
1725,volto,n,2898
1726,saluto,n,2896
1727,cinese,adj,2895
1728,calcio,n,2895
1729,maschera,n,2893
1730,formaggio,n,2890
1731,ascensore,n,2889
1732,fase,n,2887
1733,lancio,n,2886
1734,nominare,v,2886
1735,pazienza,n,2885
1736,cassa,n,2881
1737,elicottero,n,2877
1738,rimuovere,v,2875
1739,offendere,v,2875
1740,medio,adj,2874
1741,serpente,n,2870
1742,armato,adj,2869
1743,divano,n,2854
1744,soggetto,n,2853
1745,labbro,n,2851
1746,petto,n,2841
1747,cavaliere,n,2839
1748,sorveglianza,n,2837
1749,segnare,v,2837
1750,dipingere,v,2837
1751,cima,n,2836
1752,testimoniare,v,2835
1753,cenare,v,2835
1754,universo,adj,2833
1755,lentamente,adv,2831
1756,posta,n,2828
1757,rimandare,v,2828
1758,piovere,v,2826
1759,pubblicità,n,2822
1760,conservare,v,2821
1761,suicidio,n,2819
1762,quadro,n,2819
1763,aggredire,v,2818
1764,elettrico,adj,2816
1765,votare,v,2811
1766,pulito,adj,2810
1767,coglione,adj,2808
1768,specchio,n,2805
1769,sinistro,adj,2803
1770,vetro,n,2802
1771,nuotare,v,2797
1772,disponibile,adj,2796
1773,divorzio,n,2795
1774,castello,n,2795
1775,sciocchezza,n,2794
1776,orso,n,2793
1777,utilizzare,v,2785
1778,perdono,n,2784
1779,invito,n,2781
1780,torcere,v,2777
1781,donare,v,2775
1782,ovest,n,2774
1783,afferrare,v,2774
1784,coda,n,2765
1785,colorare,v,2760
1786,puzza,n,2758
1787,champagne,n,2758
1788,negativo,adj,2758
1789,cacciatore,n,2757
1790,frase,n,2755
1791,torre,n,2747
1792,custodia,n,2745
1793,sonno,n,2744
1794,foresta,n,2743
1795,riunire,v,2739
1796,terreno,n,2736
1797,fico,n,2736
1798,istruzione,n,2736
1799,trasmettere,v,2735
1800,illegale,adj,2734
1801,concerto,n,2733
1802,struttura,n,2729
1803,registrazione,n,2725
1804,pietà,n,2724
1805,tecnologia,n,2722
1806,canale,n,2717
1807,comunicazione,n,2716
1808,schifoso,n,2716
1809,esperimento,n,2715
1810,disegno,n,2715
1811,tempesta,n,2713
1812,sbarazzare,v,2713
1813,maledire,v,2712
1814,diario,n,2711
1815,prodotto,n,2711
1816,miliardo,n,2709
1817,consegna,n,2707
1818,comandare,v,2703
1819,maglietta,n,2701
1820,aggiustare,v,2700
1821,dolcezza,n,2699
1822,autista,n,2693
1823,figurare,v,2693
1824,media,n,2691
1825,anticipo,n,2691
1826,affidare,v,2691
1827,frattempo,n,2688
1828,difficoltà,n,2685
1829,diamante,n,2685
1830,atterrare,v,2683
1831,annoiare,v,2683
1832,disegnare,v,2680
1833,bugia,n,2679
1834,originale,adj,2677
1835,babbo,n,2676
1836,cedere,v,2675
1837,catena,n,2672
1838,affitto,n,2668
1839,alba,n,2667
1840,perduto,adj,2667
1841,fila,n,2665
1842,spazzatura,n,2665
1843,trasportare,v,2665
1844,abilità,n,2664
1845,poesia,n,2663
1846,violento,adj,2663
1847,materiale,n,2660
1848,taglia,n,2659
1849,passione,n,2658
1850,fabbrica,n,2656
1851,coincidenza,n,2656
1852,profumo,n,2652
1853,carro,n,2652
1854,operare,v,2644
1855,riposo,n,2643
1856,personalmente,adv,2641
1857,moltissimo,adj,2640
1858,mezzanotte,n,2639
1859,istante,n,2636
1860,passeggiata,n,2632
1861,big,n,2628
1862,ferro,n,2625
1863,svellere,v,2618
1864,penna,n,2616
1865,folle,adj,2613
1866,probabile,adj,2613
1867,analizzare,v,2613
1868,caricare,v,2613
1869,fattoria,n,2611
1870,tenda,n,2611
1871,ammirare,v,2611
1872,firma,n,2610
1873,giapponese,adj,2606
1874,ruota,n,2605
1875,sorriso,n,2604
1876,raccomandare,v,2603
1877,mancanza,n,2597
1878,reparto,n,2596
1879,televisione,n,2595
1880,portafoglio,n,2595
1881,combattimento,n,2592
1882,verificare,v,2591
1883,indizio,n,2590
1884,ripulire,v,2590
1885,singolo,adj,2586
1886,risorsa,n,2585
1887,panino,n,2582
1888,ambiente,n,2581
1889,mosca,n,2579
1890,contante,n,2575
1891,tunnel,n,2575
1892,carcere,n,2573
1893,gomma,n,2573
1894,centesimo,n,2572
1895,scambio,n,2570
1896,registro,n,2570
1897,giudizio,n,2568
1898,furbo,adj,2568
1899,prezioso,adj,2565
1900,metodo,n,2564
1901,autorizzare,v,2564
1902,lord,n,2563
1903,svenire,v,2562
1904,penny,n,2559
1905,governatore,n,2557
1906,diana,n,2557
1907,sfortunatamente,adv,2547
1908,femmina,n,2546
1909,vicenda,n,2544
1910,follia,n,2542
1911,incarico,n,2542
1912,mostra,n,2541
1913,rifugio,n,2540
1914,cintura,n,2540
1915,lacrima,n,2538
1916,scoppiare,v,2537
1917,escludere,v,2537
1918,approvare,v,2534
1919,versare,v,2532
1920,spegnere,v,2530
1921,scrittore,n,2529
1922,comunità,n,2525
1923,totalmente,adv,2520
1924,oceano,n,2516
1925,crudele,adj,2516
1926,giallo,adj,2513
1927,pubblicare,v,2513
1928,baseball,n,2509
1929,procedura,n,2509
1930,mistero,n,2503
1931,formare,v,2501
1932,settore,n,2499
1933,piacevole,adj,2498
1934,presumere,v,2498
1935,veicolo,n,2497
1936,delitto,n,2496
1937,crollare,v,2494
1938,rinchiudere,v,2490
1939,cogliere,v,2488
1940,morale,adj,2486
1941,benzina,n,2486
1942,pelo,n,2483
1943,figura,n,2482
1944,abbattere,v,2479
1945,consigliare,v,2474
1946,minimo,n,2473
1947,divisione,n,2473
1948,mentale,adj,2472
1949,preghiera,n,2471
1950,coscienza,n,2470
1951,epoca,n,2469
1952,bagaglio,n,2469
1953,tubo,n,2469
1954,corrispondere,v,2466
1955,nota,n,2465
1956,cancello,n,2465
1957,patetico,adj,2462
1958,buffo,adj,2460
1959,raro,adj,2460
1960,chiarire,v,2452
1961,convenire,v,2450
1962,sforzo,n,2447
1963,misura,n,2446
1964,profilo,n,2445
1965,sviluppare,v,2443
1966,terminare,v,2443
1967,conferenza,n,2442
1968,progettare,v,2435
1969,blocco,n,2431
1970,totale,adj,2429
1971,proseguire,v,2425
1972,preso,adj,2423
1973,completare,v,2423
1974,prostituta,n,2421
1975,zucchero,n,2420
1976,fegato,n,2419
1977,golf,n,2416
1978,racconto,n,2415
1979,farmaco,n,2415
1980,adulto,n,2413
1981,carica,n,2408
1982,gradire,v,2408
1983,sputare,v,2406
1984,giovanotto,n,2400
1985,circostanza,n,2398
1986,bugiardo,adj,2397
1987,approfittare,v,2396
1988,gelato,n,2394
1989,onorare,v,2394
1990,stupire,v,2394
1991,sorvegliare,v,2394
1992,territorio,n,2392
1993,sport,n,2391
1994,dosso,n,2388
1995,partenza,n,2387
1996,sfidare,v,2385
1997,rilevare,v,2380
1998,appendere,v,2378
1999,nutrire,v,2378
2000,stretto,adj,2376
2001,curioso,adj,2376
2002,pasto,n,2373
2003,virus,n,2372
2004,sacro,adj,2372
2005,scienziato,n,2372
2006,istinto,n,2370
2007,stufo,adj,2370
2008,buio,n,2367
2009,leone,n,2366
2010,fantasia,n,2365
2011,sfida,n,2364
2012,palestra,n,2361
2013,strumento,n,2360
2014,mela,n,2360
2015,limitare,v,2359
2016,orecchio,n,2358
2017,malapena,n,2357
2018,gioiello,n,2356
2019,sanguinare,v,2355
2020,talmente,adv,2352
2021,cerimonia,n,2352
2022,cavo,n,2352
2023,aggiornare,v,2350
2024,leader,n,2348
2025,professor,n,2345
2026,panico,n,2343
2027,sciocco,adj,2343
2028,terrorizzare,v,2342
2029,assegnare,v,2341
2030,esporre,v,2341
2031,team,n,2337
2032,manco,adj,2336
2033,cammino,n,2334
2034,lana,n,2333
2035,sciogliere,v,2333
2036,vendicare,v,2331
2037,economico,adj,2330
2038,cola,n,2329
2039,nascita,n,2328
2040,dozzina,n,2327
2041,spaventoso,adj,2325
2042,vergogna,n,2323
2043,professionale,adj,2323
2044,super,adj,2322
2045,stop,n,2321
2046,spiacente,adj,2321
2047,bambola,n,2321
2048,west,n,2320
2049,punizione,n,2320
2050,sé,n,2317
2051,prenotare,v,2315
2052,becco,n,2314
2053,veleno,n,2314
2054,infinito,adj,2314
2055,supporto,n,2312
2056,assaggiare,v,2306
2057,riserva,n,2305
2058,moneta,n,2305
2059,brillante,adj,2304
2060,mondiale,adj,2298
2061,tappeto,n,2293
2062,progresso,n,2293
2063,olio,n,2292
2064,commerciale,adj,2292
2065,collaborare,v,2291
2066,divenire,v,2290
2067,torturare,v,2284
2068,legno,n,2283
2069,roccia,n,2278
2070,costoso,adj,2275
2071,macchia,n,2274
2072,elemento,n,2271
2073,reputazione,n,2270
2074,equipaggio,n,2270
2075,mago,n,2270
2076,sospendere,v,2270
2077,scudo,n,2268
2078,avanzare,v,2267
2079,succhiare,v,2267
2080,eterno,adj,2266
2081,sveglia,n,2263
2082,leggenda,n,2263
2083,pallottola,n,2263
2084,garage,n,2261
2085,intimo,adj,2259
2086,aggressione,n,2256
2087,puntata,n,2252
2088,busta,n,2251
2089,abitudine,n,2251
2090,conquistare,v,2251
2091,fedele,adj,2249
2092,seduta,n,2249
2093,risalire,v,2248
2094,charlotte,n,2244
2095,confine,n,2240
2096,incolpare,v,2239
2097,allenamento,n,2238
2098,meraviglia,n,2236
2099,là,adv,2235
2100,impresa,n,2232
2101,intrappolare,v,2227
2102,orario,n,2226
2103,avventura,n,2224
2104,infrangere,v,2224
2105,preside,n,2223
2106,lento,adj,2222
2107,cifra,n,2218
2108,coniglio,n,2216
2109,museo,n,2214
2110,telefonico,adj,2214
2111,umore,n,2213
2112,trascorrere,v,2213
2113,biblioteca,n,2210
2114,isolare,v,2208
2115,band,n,2205
2116,mutande,n,2202
2117,organizzazione,n,2202
2118,delicato,adj,2201
2119,parcheggiare,v,2199
2120,vice,n,2198
2121,insetto,n,2197
2122,tatuaggio,n,2195
2123,pacco,n,2194
2124,truppa,n,2193
2125,pipì,n,2192
2126,potenza,n,2192
2127,estrarre,v,2192
2128,chance,n,2185
2129,schiacciare,v,2184
2130,diffondere,v,2184
2131,svolgere,v,2183
2132,opzione,n,2180
2133,resistenza,n,2178
2134,martedì,n,2176
2135,vasca,n,2174
2136,polso,n,2174
2137,batteria,n,2174
2138,sito,n,2173
2139,classico,adj,2172
2140,tratto,n,2171
2141,robot,n,2168
2142,riso,n,2167
2143,rinforzo,n,2167
2144,divorziare,v,2167
2145,colloquio,n,2166
2146,femminile,adj,2164
2147,assassinare,v,2164
2148,ufficialmente,adv,2163
2149,suicidarsi,v,2163
2150,quaggiù,adv,2162
2151,attraente,adj,2161
2152,improvvisamente,adv,2160
2153,armadio,n,2158
2154,sfruttare,v,2155
2155,gentiluomo,n,2154
2156,tragedia,n,2153
2157,disposizione,n,2152
2158,annuncio,n,2152
2159,schema,n,2150
2160,chiacchiera,n,2148
2161,commissario,n,2147
2162,polmone,n,2147
2163,interpretare,v,2146
2164,spettare,v,2145
2165,realmente,adv,2144
2166,patata,n,2142
2167,pisciare,v,2142
2168,umanità,n,2141
2169,ringraziamento,n,2141
2170,inverno,n,2135
2171,eccezionale,adj,2135
2172,urgente,adj,2134
2173,sintomo,n,2134
2174,deposito,n,2133
2175,scommessa,n,2133
2176,tipico,adj,2133
2177,addestrare,v,2133
2178,dea,n,2132
2179,appoggiare,v,2132
2180,giovedì,n,2129
2181,rivista,n,2128
2182,gesto,n,2127
2183,sinceramente,adv,2126
2184,rotta,n,2125
2185,ammiraglio,n,2125
2186,primavera,n,2125
2187,ficcare,v,2123
2188,rifiuto,n,2122
2189,significato,n,2120
2190,intanto,adv,2117
2191,opporre,v,2117
2192,somigliare,v,2117
2193,reato,n,2115
2194,agio,n,2114
2195,trasporto,n,2113
2196,sorta,n,2111
2197,canto,n,2108
2198,danneggiare,v,2106
2199,collegamento,n,2105
2200,parete,n,2105
2201,tradurre,v,2104
2202,alcol,n,2103
2203,giocattolo,n,2102
2204,leccare,v,2100
2205,minore,adj,2099
2206,tassa,n,2096
2207,scorta,n,2096
2208,quantità,n,2093
2209,flotta,n,2092
2210,sacrificare,v,2092
2211,accogliere,v,2091
2212,clinica,n,2087
2213,riavere,v,2086
2214,sacrificio,n,2085
2215,impiccare,v,2084
2216,riservare,v,2081
2217,estremamente,adv,2078
2218,cagare,v,2078
2219,cucciolo,n,2077
2220,pianificare,v,2076
2221,valido,adj,2076
2222,febbre,n,2073
2223,onestamente,adv,2069
2224,bussare,v,2067
2225,tono,n,2066
2226,miele,n,2065
2227,lancia,n,2064
2228,sposo,n,2063
2229,nucleare,adj,2061
2230,obiezione,n,2057
2231,generazione,n,2057
2232,spaziale,adj,2056
2233,scivolare,v,2056
2234,geniale,adj,2053
2235,annunciare,v,2053
2236,massa,n,2050
2237,simbolo,n,2042
2238,punta,n,2040
2239,gabbia,n,2040
2240,superficie,n,2036
2241,probabilità,n,2035
2242,sofferenza,n,2035
2243,merce,n,2032
2244,ferito,n,2025
2245,porno,adj,2024
2246,cartello,n,2024
2247,rivolere,v,2024
2248,figa,n,2023
2249,mortale,adj,2023
2250,ripresa,n,2023
2251,temperatura,n,2022
2252,dodici,adj,2019
2253,bastone,n,2014
2254,fidanzare,v,2014
2255,fascicolo,n,2012
2256,set,n,2008
2257,popolare,adj,2008
2258,collina,n,2005
2259,croce,n,2002
2260,derubare,v,1999
2261,verme,n,1998
2262,tradizione,n,1997
2263,bagnare,v,1996
2264,successivo,adj,1996
2265,palco,n,1995
2266,sconosciuto,n,1993
2267,origine,n,1993
2268,imbarazzo,n,1990
2269,ebreo,n,1986
2270,finanziario,adj,1986
2271,pesca,n,1984
2272,elegante,adj,1981
2273,misterioso,adj,1979
2274,distretto,n,1976
2275,vitale,adj,1976
2276,trauma,n,1973
2277,regista,n,1971
2278,modulo,n,1971
2279,montare,v,1969
2280,traditore,n,1968
2281,rimediare,v,1963
2282,miseria,n,1962
2283,danza,n,1961
2284,folla,n,1960
2285,udienza,n,1960
2286,contea,n,1957
2287,tara,n,1956
2288,rotto,adj,1954
2289,favoloso,adj,1953
2290,schermo,n,1949
2291,sabbia,n,1948
2292,esigere,v,1948
2293,selvaggio,adj,1947
2294,ripensare,v,1946
2295,quinto,adj,1944
2296,determinare,v,1944
2297,detestare,v,1940
2298,pancia,n,1939
2299,seno,n,1938
2300,programmare,v,1937
2301,intervenire,v,1936
2302,cartella,n,1935
2303,candela,n,1935
2304,esistenza,n,1934
2305,cognome,n,1933
2306,bibbia,n,1932
2307,guanto,n,1931
2308,influenza,n,1930
2309,passaporto,n,1929
2310,boston,n,1927
2311,esimere,v,1927
2312,party,n,1926
2313,conclusione,n,1926
2314,citare,v,1926
2315,deserto,n,1925
2316,mila,adj,1924
2317,extra,n,1923
2318,tremare,v,1922
2319,drogare,v,1921
2320,stress,n,1920
2321,chirurgo,n,1919
2322,dose,n,1918
2323,complice,n,1918
2324,internazionale,adj,1917
2325,esercizio,n,1917
2326,moderno,adj,1917
2327,generoso,adj,1916
2328,ubriacare,v,1916
2329,stancare,v,1915
2330,aula,n,1912
2331,motel,n,1909
2332,affermare,v,1905
2333,intervista,n,1904
2334,denuncia,n,1899
2335,incasinare,v,1898
2336,scemo,n,1896
2337,pianta,n,1895
2338,spacciatore,n,1894
2339,tema,n,1892
2340,barba,n,1887
2341,patatina,n,1886
2342,marcia,n,1885
2343,scatenare,v,1885
2344,piazzare,v,1884
2345,testimonianza,n,1880
2346,preoccupazione,n,1878
2347,erica,n,1877
2348,elio,n,1874
2349,risata,n,1874
2350,pazzia,n,1873
